first played, last played, playtime/mins, money,jrmcStrI,jrmcDexI,jrmcCnsI,jrmcWilI,jrmcIntI,jrmcCncI
1666971242956,1667250337626,1535330,0.0,50,50,100,15,73,50
1670874642811,1671851330047,15259898,117.0,50,30,75,10,60,25
1663365327158,1663366087194,313341,0,15,10,10,15,5,5
1662214742979,1662593824353,9093,0,15,10,10,15,5,5
1658514135718,1658514938917,15605,0,15,10,10,15,5,5
1670193676023,1670194615168,18405,0,23,10,10,15,10,5
1661905274421,1661906212573,18555,0,15,10,10,15,5,5
1665341583191,1665342519577,17821,0,20,14,15,15,5,5
1654584421199,1681875952846,398694,0.0,1400,1000,1020,1000,1230,1000
1650535371601,1661945781205,59340,0.0,11,10,15,14,9,15
1645753181232,1654843864220,245882,0.0,34,20,30,25,21,24
1614743853700,1660008593883,4751042,1143.98,261,251,333,54,212,119
1653353025194,1674532049953,2647526,431.0,113,113,114,26,175,106
1685149819408,1685471016214,354023,0.0,19,15,11,7,15,10
1682702080455,1682958495682,109508,0.0,20,15,20,16,5,7
1671124441339,1680982974101,13031,0,15,10,10,15,5,5
1662619501546,1662779527878,460911,0.0,57,14,33,15,18,14
1654010141213,1654015705128,108032,0.0,23,19,18,15,5,5
1641648912584,1677319113794,5894559,24842.6070580358371260,200,180,180,50,180,180
1660695863239,1669864635668,130738,0.0,15,19,18,10,6,15
1668999767203,1673140362420,1635162,946.240,136,151,88,15,142,61
1683252296949,1685044883413,12200220,30553.00,655,90,800,7,355,250
1673193309203,1673705270513,35081,0,10,10,10,15,10,5
1663860629494,1666277490084,2290998,5.655484723769193992,130,123,114,17,145,42
1661068923264,1661069798832,17396,0,10,5,15,10,5,15
1687947600085,1687950199922,46138,0.0,30,11,21,15,5,15
1657317584172,1660792070528,153481,0.0,68,10,23,15,10,5
1670176214912,1670177465467,24152,0.0,10,10,10,15,10,5
1646683032873,1689040815995,39511328,734781.35,9800,9800,10000,15,950,5000
1671515404315,1689169548818,81312414,109256.66,12000,20000,24000,20,1850,6000
1656679082262,1656680322855,23654,0,13,10,16,10,6,16
1657979951380,1671553231034,1319685,144.5,66,52,45,15,120,5
1667559811377,1667561095156,25019,0.0,15,10,10,15,5,5
1667780626694,1667781771211,22785,0,12,11,11,15,12,5
1658069392507,1658247160460,770537,420.5,54,25,40,25,35,11
1649508536298,1679787996408,157029,40.0,25,25,13,20,6,5
1650382522258,1650390934561,166896,0.0,18,13,12,17,14,8
1680931988421,1681960231984,3452397,0.0,100,98,141,23,85,80
1683161196743,1683512041338,166352,0.0,95,95,115,10,130,35
1662912752171,1682323535928,19170720,180.9335,3310,2420,3402,500,1135,2000
1687726439686,1687736564907,200676,98594.0,30,17,16,15,51,5
1683507636141,1683508937151,21922,0,15,10,10,15,5,5
1649358009629,1685621933201,9745148,31740.04200,3901,1211,3175,85,370,363
1667935239161,1677776867816,26523020,2111.809258047733608,30,19800,19800,19800,1775,20600
1661988632410,1661989887693,18526,0.0,10,10,11,10,10,10
1676743641691,1682807738187,3123514,1948.0,900,820,1000,15,310,230
1688077803451,1688078304947,9942,49248.92014325000002,10,10,10,15,10,5
